id,name,contact_info,claims,claim_type,created_at,updated_at
1,Nichole Jones,"john00@hotmail.com, 001-727-914-3788x6048","Claim 1, Claim 2",personal_injury_mib_untraced,2024-05-26T09:36:26.356556,2024-05-26T09:36:26.356577
2,Patrick Lee,"zhopkins@roach.com, 796.976.8098x72635","Claim 3, Claim 4",fire_damage,2024-05-26T09:36:26.357878,2024-05-26T09:36:26.357890
3,Brittany Sherman,"careykatelyn@castillo.com, (480)097-7146","Claim 5, Claim 6",planning,2024-05-26T09:36:26.359313,2024-05-26T09:36:26.359326
4,Kelly Hayden,"josephbishop@pierce.com, 4286720525","Claim 7, Claim 8",chancery,2024-05-26T09:36:26.361495,2024-05-26T09:36:26.361507
5,Jennifer Waller,"bbell@nichols.biz, +1-130-500-3264x705","Claim 9, Claim 10",employment,2024-05-26T09:36:26.363407,2024-05-26T09:36:26.363419
6,David Lopez,"warrenmelvin@hotmail.com, 001-928-128-5801","Claim 11, Claim 12",aviation,2024-05-26T09:36:26.364729,2024-05-26T09:36:26.364741
7,Chelsea Smith,"michelle17@gmail.com, 357-557-9260x650","Claim 13, Claim 14",chancery,2024-05-26T09:36:26.365497,2024-05-26T09:36:26.365508
8,Stephanie Rivas,"christopherwilson@morgan.net, 262-428-3675","Claim 15, Claim 16",employment,2024-05-26T09:36:26.366839,2024-05-26T09:36:26.366851
9,Matthew Brown,"jonessamuel@houston.org, 974-831-7043x32324","Claim 17, Claim 18",personal_injury_travel,2024-05-26T09:36:26.369081,2024-05-26T09:36:26.369093
10,Stephanie Jensen,"alexanderrussell@hotmail.com, +1-489-162-0594x868","Claim 19, Claim 20",appeals,2024-05-26T09:36:26.370129,2024-05-26T09:36:26.370142
11,Carla Hardy,"delgadokenneth@gmail.com, +1-347-254-2384x389","Claim 21, Claim 22",personal_injury_occupational_disease,2024-05-26T09:36:26.371172,2024-05-26T09:36:26.371184
12,Cynthia Duffy,"andrea77@yahoo.com, 766.965.6412","Claim 23, Claim 24",property_non_fire_flood,2024-05-26T09:36:26.372103,2024-05-26T09:36:26.372115
13,Michele Pearson,"mendezjason@santana.com, 096-609-8958x39726","Claim 25, Claim 26",construction,2024-05-26T09:36:26.374201,2024-05-26T09:36:26.374213
14,Carolyn Jensen,"wallkevin@barnes.biz, (739)914-4811x139","Claim 27, Claim 28",business_dispute,2024-05-26T09:36:26.376310,2024-05-26T09:36:26.376321
15,Michael Richardson,"ltodd@burton.com, +1-815-073-3176","Claim 29, Claim 30",clinical_negligence,2024-05-26T09:36:26.377576,2024-05-26T09:36:26.377588
16,Brenda Molina,"joseglover@nash-harmon.com, 188.258.6203","Claim 31, Claim 32",clinical_negligence,2024-05-26T09:36:26.379689,2024-05-26T09:36:26.379700
17,Leah Jones,"bradymichelle@sweeney-smith.biz, 000.054.7552x099","Claim 33, Claim 34",personal_injury_cica,2024-05-26T09:36:26.381218,2024-05-26T09:36:26.381257
18,Terry Stevens,"ericanelson@wood.org, (181)577-1669x82017","Claim 35, Claim 36",fire_damage,2024-05-26T09:36:26.382363,2024-05-26T09:36:26.382373
19,James Baker,"welchkathryn@castro.com, (226)442-5924","Claim 37, Claim 38",employment,2024-05-26T09:36:26.383987,2024-05-26T09:36:26.383999
20,Mr. John Collins,"lcampbell@gmail.com, 5924469708","Claim 39, Claim 40",planning,2024-05-26T09:36:26.384664,2024-05-26T09:36:26.384675
21,Mrs. Carrie Graves,"christophermartinez@young.com, 614-838-6427x8487","Claim 41, Claim 42",shipping,2024-05-26T09:36:26.385815,2024-05-26T09:36:26.385823
22,Paul Irwin,"jbrown@nguyen.com, (027)365-9736x5429","Claim 43, Claim 44",personal_injury_road_traffic_whiplash,2024-05-26T09:36:26.386764,2024-05-26T09:36:26.386775
23,Isaac Gordon,"rachael78@hotmail.com, (875)847-6040x29356","Claim 45, Claim 46",travel_non_abta,2024-05-26T09:36:26.387690,2024-05-26T09:36:26.387701
24,Barbara Knight,"nlee@harrell-morrison.com, 001-835-543-6003x712","Claim 47, Claim 48",personal_injury_public_liability,2024-05-26T09:36:26.389077,2024-05-26T09:36:26.389084
25,Harold Chan,"kedwards@hotmail.com, 213.501.4684x51285","Claim 49, Claim 50",family_financial,2024-05-26T09:36:26.389583,2024-05-26T09:36:26.389590
