id,name,contact_info,expertise,experience,membership,style_approach,availability,created_at,updated_at
1,Emily Kirby,"thompsonryan@snow.com, +1-173-257-3240x00996","['mind', 'five']",11,treatment,For different support understand yeah firm leave.,"['Wednesday', 'Sunday']",2024-05-26T09:36:26.419084,2024-05-26T09:36:26.419091
2,Amanda Scott,"patriciawilliams@gmail.com, +1-029-325-6448x683","['board', 'baby']",23,view,Effort group low.,"['Thursday', 'Monday']",2024-05-26T09:36:26.420107,2024-05-26T09:36:26.420113
3,David Ortega,"deborah26@powell.net, (390)795-4711","['figure', 'bring']",9,low,Wind grow safe above nice end.,"['Saturday', 'Monday']",2024-05-26T09:36:26.421022,2024-05-26T09:36:26.421028
4,Robert Kelly,"matthewfoster@nelson.com, (534)599-6640x665","['million', 'see']",28,power,Difference especially rate than body recent together.,"['Friday', 'Thursday']",2024-05-26T09:36:26.422045,2024-05-26T09:36:26.422051
5,Kenneth Sherman,"amyblackwell@yahoo.com, 471.791.4925x15050","['cause', 'system']",30,dark,Particular national cultural agree.,"['Monday', 'Sunday']",2024-05-26T09:36:26.422917,2024-05-26T09:36:26.422924
6,Joshua Anderson,"stevenhall@hess.com, 1308750910","['away', 'maintain']",22,ahead,Hand rate production agent total author alone yard.,"['Monday', 'Saturday']",2024-05-26T09:36:26.423738,2024-05-26T09:36:26.423747
7,Natalie Short,"daniel69@yahoo.com, +1-663-230-2557","['admit', 'entire']",24,week,All right assume room.,"['Monday', 'Thursday']",2024-05-26T09:36:26.424517,2024-05-26T09:36:26.424523
8,Paul Hudson,"donaldbrown@hoffman.biz, (359)608-0400x59943","['message', 'floor']",10,sound,Lose job individual plan stock save.,"['Monday', 'Sunday']",2024-05-26T09:36:26.425792,2024-05-26T09:36:26.425798
9,Janice Wood,"eacevedo@hotmail.com, (059)934-7194","['listen', 'than']",12,history,Evening son view better want front computer policy.,"['Tuesday', 'Thursday']",2024-05-26T09:36:26.426508,2024-05-26T09:36:26.426514
10,Nicholas Ponce MD,"jgarcia@hotmail.com, 001-163-932-3007","['more', 'happy']",19,letter,Deal peace else board federal wall thank win.,"['Wednesday', 'Sunday']",2024-05-26T09:36:26.427094,2024-05-26T09:36:26.427104
