id,name,contact_info,expertise,membership,experience,style_approach,availability,created_at,updated_at
1,Alice-Andreea Magean,julie29@adams.biz,"Profession/s  Junior Global Consultant Civil/Commercial MediatorAreas of expertise  Family disputes Contractual/Commercial disputes Property disputesCountry of Practice United KingdomLanguagesEnglish, Romanian and French","Profession/s  Junior Global Consultant Civil/Commercial MediatorAreas of expertise  Family disputes Contractual/Commercial disputes Property disputesCountry of Practice United KingdomLanguagesEnglish, Romanian and French","Junior Global Consultant at WTW (Sep 2019-Oct 2021 and Jan 2022-Present)Responsibilities relating to mediation Facilitating meetings between the parties, being the ‘middle-man’ Conflict management between WTW brokers and client Active listening to the client’s needs and emotions Negotiation on solutions, project scope and contracts, which are beneficial for all partiesUK Wealth Project Manager (Oct 2021-Jan 2022)Responsibilities relating to mediationN/ABrand Ambassador at Paul Robinson LLP (Oct 2017-May 2019)Responsibilities relating to mediation Conducting client interviews/meetings Negotiating sponsorships for charitable events, a good outcome for all parties","Mediation should be solely focused on the parties and breaking the negative psychological cycle, which has been preventing them from reaching a common resolution. In Niels Bohr’s words, “Every great and deep difficulty bears in itself its own solution. It forces us to change our thinking in order to find it.” During the mediation session, you should expect to find a partner in me; we will work together to uncover past barriers, identify present goals and step into a fruitful future without conflict. The only tool you will be required to bring to the mediation arena is ‘yourself’ – emotions are allowed, patience is encouraged, and resolutions will be found.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.427566,2024-05-26T09:44:17.427578
2,Ali Ishtiaq,johngood@smith.com,"Commercial disputes, Employment, Landlord & Tenant, Construction, Bank and Third Party Debt and Consumer Disputes.LanguagesEnglish, Bangla", Accredited Civil-Commercial Mediator under ADR-ODR International LimitedQualified in August 2017,Associate at Farooq and AssociatesAugust 2017- Present,"Participating parties are of utmost importance in my mediations. My duty is to relieve their concerns relating to confidentiality and to facilitate a constructive resolution. The process involves sitting down with individual parties and exploring the issues, challenging their strengths and bolstering their weaknesses. At the end, creating a win-win situation for both parties. In doing so, I will use a mixture of exploration based skill set which involves an empathetic tone, persuasive undertones and a precise calculation of each party’s individual standing. Despite my professional demeanor, I create an interactive and safe atmosphere where parties feel comfortable in sharing their perspectives.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.429044,2024-05-26T09:44:17.429053
3,Ali Tahsin Apon,kevin97@reed.net,"Civil and Commercial disputes including:Contractual disputes and money claimsCompany Law/ Business disputesConsumer disputesEmployment and workplace disputesProperty/ Boundary disputesNegligenceLanguagesBengali, English, Hindi, Urdu", Mediation Qualification: Accredited Civil and Commercial MediatorAccreditation Company/Institution: ADR GroupQualified as a mediator: 24 June 2016,"I am a Civil and Commercial Mediator accredited by ADR Group.I have completed my LLB (Hons) from University of London International Programmes and undertaken Bar Professional Training Course (BPTC) at BPP University, London. I have been certified by MHFA, UK as a Mental Health First Aider and have the experience of working as a First Aider in a number of organisations in the UK.Prior to entering BPP Law School for BPTC, I worked for two years at ‘A. Hussain & Associates’, a renowned law firm in Dhaka, Bangladesh. The work entailed creativity, analytical thinking, problem solving, creating proposals and meetings with clients. These experiences have equipped me with a foundation of skills and attributes which enables me to contribute significantly to my mediation career.","I always seek to resolve all the cases that come to me in a sensitive manner and try to reach a settlement which is mutually acceptable between the parties concerned. My notion is that a good mediator must be trustworthy, non-judgmental and should be deeply invested with all his respective clients. I believe the confidentiality of each of the parties involved in a mediation is crucial therefore I am always conscious of how to speak to each party in a mediation so as to preserve confidentiality. My ability to listen non-judgmentally, summarise perspectives and articulate the issues raised, enables all my parties to feel confident and aurally perceived. My legal background allows me to ask the right questions with confidence and insight to assist my clients to reality test their offers until they are comfortable with their final settlement.Although there are various styles of mediation available for mediating cases including transformative, evaluative and facilitative, I consider these are all techniques that a mediator should adopt where appropriate, depending on the case.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.430322,2024-05-26T09:44:17.430333
4,Ali Raza,davidmcfarland@hurley.org,"Profession/s ADR ODR International accredited Digital Dispute Resolution Specialist, High Court Lawyer, Pakistan,Transferring Qualifying Lawyer Applicant with BSB England and WalesAreas of expertise International accredited Civil/Commercial Mediation, Executive Negotiation and Conflict Management,International Arbitration, Online Dispute ResolutionCountry of Practice UKLanguagesEnglish, Urdu","Profession/s ADR ODR International accredited Digital Dispute Resolution Specialist, High Court Lawyer, Pakistan,Transferring Qualifying Lawyer Applicant with BSB England and WalesAreas of expertise International accredited Civil/Commercial Mediation, Executive Negotiation and Conflict Management,International Arbitration, Online Dispute ResolutionCountry of Practice UKLanguagesEnglish, Urdu","Diploma in Digital Dispute Resolution Specialist (2023), Civil/Commercial Mediation Course 2023, LLMCommercial Law at UWE Bristol (2022), LLB at University of London (2019)","I prioritize professionalism, neutrality, and adaptability to create an environment conducive to conflictresolution. Remaining impartial is paramount, establishing trust and confidence among the partiesinvolved. My communication skills, including active listening and empathy, enable me to understanddiverse perspectives and guide constructive dialogue. I bring a problem-solving mindset and patience tothe process, recognizing that successful mediation often requires time and perseverance. Culturalsensitivity ensures inclusivity, and my flexibility allows me to tailor my approach to the unique needs ofeach case. Upholding confidentiality is a priority, fostering a secure space for open communication. Witha solid knowledge base and a commitment to ethical conduct, I aim to navigate complexities andfacilitate fair, informed agreements that address the interests of all parties involved.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.431357,2024-05-26T09:44:17.431369
5,Alicia Jones,ehunter@gmail.com,Accredited Civil and Commercial MediatorInternational Trade/ShippingLender ServicesLandlord and TenantPropertyCivil EnforcementLanguagesEnglish," ADR-ODR International, Accredited Civil and Commercial Mediator 2017Called to the Bar of England and Wales, The Honourable Society of the Middle Temple 2017","Tutor of Commercial, Company and International Trade Law (April 2017 – Current) – I teach from A-Level to LLM levelCounty Court Advocate (June 2017 – October 2017) – represented clients on the Southern Circuit County Courts in a variety civil disputes including: Lender Services, Landlord and Tenant, Property, Consumer Credit and Personal Injury","I mediate with a facilitative and friendly, yet pragmatic, approach. My work as a tutor demonstrates my ability to communicate with clients in an understandable manner which promotes dialogue and critical thinking. I work in a way which ensures that I understand what a client wants in a holistic manner, focusing upon the dispute at both a macro and micro level. Thus, affording me the opportunity to help clients unpick what lies at the heart of the conflict. I look forward to working with parties to explore creative solutions and discover a settlement agreement which enables both sides to achieve their goals.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.432534,2024-05-26T09:44:17.432546
6,Alice Flett,stanner@robinson.com,Accredited ADR ODR International Civil Mediation Council Civil/Commercial MediationFirst Class (Hons) Law Graduate from the University of LincolnCurrent University of Oxford Student; MSc in Criminology and Criminal JusticeCurrent Bar Professional Training Course StudentLanguagesEnglish,"Centre for Dispute Resolution (CEDR) Competition – coached competitors on how to effectively negotiate in my role as Law Society Negotiation Officer Assistant while at university, placing 3rd on a national scale.  Vacation Scheme: Stephenson Harwood LLP – worked in Real Estate and Commercial Litigation departments.Vacation Scheme: Bevan Brittan LLP – worked in the Litigation, Advisory & Regulation department.Legal Assistant: T.G. Collins Solicitors – worked within the Family & Divorce, Conveyancing and Wills & Probate departments, prepared case files and attended client meetings. ","Centre for Dispute Resolution (CEDR) Competition – coached competitors on how to effectively negotiate in my role as Law Society Negotiation Officer Assistant while at university, placing 3rd on a national scale.  Vacation Scheme: Stephenson Harwood LLP – worked in Real Estate and Commercial Litigation departments.Vacation Scheme: Bevan Brittan LLP – worked in the Litigation, Advisory & Regulation department.Legal Assistant: T.G. Collins Solicitors – worked within the Family & Divorce, Conveyancing and Wills & Probate departments, prepared case files and attended client meetings. ","My solutions-focused approach when mediating, is what I consider effectively facilitates a mediation towards reaching a settlement that is beneficial to all parties and to do so amicably. My focus on putting the parties themselves at the forefront of the process, enables them to be in the driving seat of their own resolution and gives them the freedom to dictate their own outcomes. As mediator, parties can expect a mediation that is characterised with respect, fairness, neutrality and creativity throughout the entirety of the mediation process.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.433919,2024-05-26T09:44:17.433927
7,Alisah Iqbal,christyarmstrong@yahoo.com,Construction Law and Commercial LitigationLanguagesEnglish ,"ADR ODR International Accredited Civil-Commercial Mediator, qualified since 2017",Solicitor at Willmott Dixon – areas of practice are construction and commercial litigation,"Alisah reassures parties from the outset that the aim of mediation is to facilitate dialogue between parties and reach a mutually beneficial outcome. Alisah informs parties that they are in control of the settlement reached and give parties the opportunity to raise all of their concerns. Alisah maintains an empathetic and considerate approach throughout sessions and encourages parties to make offers and reflect on the pragmatics of their offers.  Alisah’s friendly and warm characteristic enable her to build trust quickly allowing her to gain an understanding of the issues early in sessions. Alisah remains impartial as a mediator and maintains professional etiquette throughout sessions. Alisah’s experience as a solicitor within the construction and commercial field enables her to relate to all parties and successfully achieve a practical and mutually beneficial outcome.  In addition, Alisah is able to accommodate parties by being available for mediation on weekends and evenings if required.   ","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.434634,2024-05-26T09:44:17.434642
8,Amalea Bourne,ecordova@gmail.com,Civil-Commercial MediationLanguagesEnglish,I am a member of the Honourable Society of the Middle Temple.I am an ADR-ODR International accredited Civil Commercial Mediator.,"I studied on the Bar Professional Training Course from September 2015 until June 2017. Prior to this, I undertook a Law Degree at the University of Wolverhampton where I obtained a Second Class Bachelor of laws with honours.","In my Mediations I hope to convey myself as an open, non-judgmental and empathetic person. I will listen to each individual with an unbiased mind and deal with their concerns and conflicts in a fair, honest and confidential way to ensure that both parties achieve their ultimate goal, or as close to this as they can, leaving each mediation with a sense of achievement, peace and allow each person to move forward within their lives, emotionally and physically.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.435406,2024-05-26T09:44:17.435414
9,Ameerah B. Bandoo,xhudson@hotmail.com,Commercial and Contractual disputes | Corporate Matters | Intellectual Property | Mediation | Online Dispute ResolutionsCountry of Practice Mauritius | United KingdomLanguagesLanguagesEnglish | French | Mauritian Creole,Accredited Civil/Commercial Mediator ADR ODR International | 2020Member of The Honourable Society of the Middle Temple Inn | 2019,"Online Dispute Resolution Specialist ADR ODR International | 2020Civil/Commercial Mediator ADR ODR International | 2020Lawyer Kalexius Ltd – Mauritius | 2018Kalexius Ltd is a legal services provider that works with clients across the globe. I worked in the Intellectual Property department with English and French clients.Paralegal Centre for Family Relations – Mauritius | 2016Centre for Family Relations specialises in dispute resolutions, mainly in family matters and divorce mediation. I have, additionally, completed a one-day workshop on Mauritian Family Law at the Centre.Academic QualificationsBar Professional Training Course University of the West of England | 2020LLb Honours (Upper 2:1) University of Hertfordshire | 2015","Whilst conducting mediation, it is important for me to establish a sound rapport with the clients and make them feel at ease. My approach is calm and personable. While being an empathetic mediator, I do not hesitate to challenge the parties and reality-test their case. I maintain an impartial persona and simultaneously use my commercial experience to aid the parties resolve the conflict in a manner where all interests and opportunities have been explored to reach the best outcome.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.436229,2024-05-26T09:44:17.436237
10,Andrea Jansen LL.M.,ortegadonna@lewis-bean.com,"Profession/s Contract Manager at Bayer Consumer Care AGCivil / Commercial MediatorAreas of expertise Contractual disputes, family disputes, MedTech, Pharma, Construction, IT, Telecommunication and AviationCountry of Practice Switzerland and FranceLanguagesAll languages that the mediator can mediate in English, Slovak, Czech","Profession/s Contract Manager at Bayer Consumer Care AGCivil / Commercial MediatorAreas of expertise Contractual disputes, family disputes, MedTech, Pharma, Construction, IT, Telecommunication and AviationCountry of Practice Switzerland and FranceLanguagesAll languages that the mediator can mediate in English, Slovak, Czech",Mainly from Commercial law and public procurement,"My international experience from living and working abroad in different countries as well as in different sectors enables me to respect diversity, be emphatic, understand different cultures and bring knowledge from various industries. I am people oriented and a good listener. My mediation style ensures empathy and understanding. Every problem / dispute has a solution, I am here to help you find it.","[{'day': 'Monday', 'slots': ['09:00-11:00', '13:00-15:00', '16:00-18:00']}, {'day': 'Tuesday', 'slots': ['10:00-12:00', '14:00-16:00']}, {'day': 'Wednesday', 'slots': ['09:00-11:00', '13:00-15:00']}, {'day': 'Thursday', 'slots': ['10:00-12:00', '14:00-16:00', '17:00-19:00']}, {'day': 'Friday', 'slots': ['09:00-11:00', '12:00-14:00']}]",2024-05-26T09:44:17.438008,2024-05-26T09:44:17.438018
